ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
ALGORITMIA Y PROGRAMACIÓN,APLICACIÓN DE VBA CENTRADA EN EL PROYECTO INTEGRADOR,Relacional,Crear,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,pseudocódigo para el diseño de algoritmos,Abstracto Extendido,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,notación asintótica,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmos voraces,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmos para recorrido de grafos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA DE SOFTWARE,android studio,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Pilas y colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Uml,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ESTRUCTURAS DE DATOS,Apuntadores,Uniestructural,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ANÁLISIS Y DISEÑO DE ALGORITMOS,SUCESIONES SERIES E INDUCCIÓN MATEMÁTICA,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,Algoritmo de descenso de gradiente,Relacional,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA DE SOFTWARE,IMPLEMENTACION DEL ALGORITMO DE REGRESION,Aplicar,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
INGENIERÍA DE SOFTWARE,Redes de computadoras ,Multiestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
INGENIERÍA DE SOFTWARE,Programación de la tarjeta ESP32,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,MAtrices,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,ALGORTIMO DIVIDE Y VENCERAS,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMIA Y PROGRAMACIÓN,Expresiones,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Condicionales,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ESTRUCTURAS DE DATOS,ÁRBOLES,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
INGENIERÍA DE SOFTWARE,Namespace para cuenta de gitlab,Relacional,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Pilas y colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Herencia,Preestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Herencia,Preestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Árboles y grafos ,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ESTRUCTURAS DE DATOS,Manejo de variables y tipos de datos en python ,Aplicar,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
PROGRAMACIÓN IMPERATIVA,Programación orientada a objetos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Programación orientada a objetos y árboles,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Proyecto Integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
PROGRAMACIÓN IMPERATIVA,Pruebas de escritorio,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
PROGRAMACIÓN IMPERATIVA,Arreglos y matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Estructuras en c++,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Validación proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Recomendaciones proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ESTRUCTURAS DE DATOS,Listas doblemente enlazada circular,Multiestructural,Aplicar,Programación Python,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ESTRUCTURAS DE DATOS,Multilista,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ANÁLISIS Y DISEÑO DE ALGORITMOS,análisis de algortimos para proyecto integrador,Relacional,Analizar,Proyecto Integrador,Aplica el proceso de análisis de datos a dataset para extraer patrones y características relevantes que permitan desarrollar soluciones IA a problemas específicos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
INGENIERÍA DE SOFTWARE,conexion a bases de datos,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ESTRUCTURAS DE DATOS,Permutaciones y combinaciones ,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Plataformas de entrenamiento ,Abstracto Extendido,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Requerimientos Funcionales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos en video Juegos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Selectivas,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,arreglos y matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
PROGRAMACIÓN IMPERATIVA,Arreglos y funciones,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Estructuras ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Requerimientos Funcionales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,casos de uso,Relacional,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Seguimiento estudiante repitente,Relacional,Aplicar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Revisión de código con énfasis en condicionales en código Java,Relacional,Analizar,Programación Java,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Concepción de modelo - seguimiento plan de trabajo estudiante repitente.,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Programación de clases y objetos en Python - Seguimiento estudiante,Relacional,Crear,Programación Python,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Interfaces de usuario - sugerencias finalización asignatura,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,comienzo UML,Relacional,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,Listas Enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas Enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Clases y métodos,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMIA Y PROGRAMACIÓN,Pseudocódigo,NO HAY VERBO,NO HAY VERBO,Algoritmia,NO HAY VERBO
PROGRAMACIÓN IMPERATIVA,Proyecto Integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
PROGRAMACIÓN IMPERATIVA,arreglos y matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Requerimientos Funcionales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Pilas y colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos en los video juegos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Arreglos y matrices ,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Arreglos y matrices,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Estructuras ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Árbol AVL,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ALGORITMIA Y PROGRAMACIÓN,Algoritmos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Requerimientos ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Instancias a clases,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Se establece la estrategia para abordar los temas de programación OO,Relacional,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ESTRUCTURAS DE DATOS,Listas Enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
PROGRAMACIÓN IMPERATIVA,Archivos,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Revisión procesos de iteración,Relacional,Analizar,Proyecto Integrador,Aplica el proceso de análisis de datos a dataset para extraer patrones y características relevantes que permitan desarrollar soluciones IA a problemas específicos.
ESTRUCTURAS DE DATOS,Listas doblemente enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Recomendación proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Pias y colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Programación clases y objetos en Java,Abstracto Extendido,Crear,Programación Java,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,Pilas y colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,sucesiones series e inducción matemática,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,COMPLEJIDAD TEMPORAL,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos de recomendación,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas Enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas Enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Requerimientos Funcionales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmos en video juegos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Recomendación proyecto integrador,Relacional,Crear,Proyecto Integrador,Integra aplicaciones orientadas a objetos con bases de datos para el desarrollo de soluciones prácticas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Modelo conceptual,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,pseudocódigo,NO HAY VERBO,NO HAY VERBO,Algoritmia,NO HAY VERBO
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Aplicación de algoritmos de ordenamiento,Relacional,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,Álgoritmos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Promedio Ponderado,Preestructural,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
ESTRUCTURAS DE DATOS,listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
INGENIERÍA DE SOFTWARE,Namespace para cuenta de gitlab,Relacional,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
ALGORITMIA Y PROGRAMACIÓN,ESTRUCTURACIÓN DE PROBLEMAS,Preestructural,Evaluar,Otros,Evaluar Estrategias para Verificar la Calidad del Código
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Modelo Vista Controlador,Multiestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Validación del modelo de clases,Multiestructural,Comprender,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Validación del alcance del software,Multiestructural,Comprender,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Arraylist ,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
ESTRUCTURAS DE DATOS,Pilas y Colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Modelado con UML,Abstracto Extendido,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
PROGRAMACIÓN IMPERATIVA,Estructuras arreglos y matrices en C++,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
